equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,oro_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
0,0,4,11,2081,0.0,7,0,0,0
1,0,1,1,453,-0.20000000000000018,23,0,0,0
1,0,2,2,830,-0.20000000000000018,4,0,1,-1
1,1,0,-3,94,-0.20000000000000018,35,0,0,0
1,1,2,6,-722,0.40000000000000036,-54,0,1,1
1,1,-1,-1,-1491,-0.20000000000000018,8,0,-1,1
1,1,-8,-13,-3109,-0.20000000000000018,-3,0,-1,-1
1,0,-4,-2,537,0.0,52,0,-1,0
0,1,8,4,4079,1.2000000000000002,14,0,1,1
0,1,5,7,4006,0.6000000000000005,3,1,0,0
1,0,-7,-6,-3582,-1.1999999999999993,-46,0,-1,-1
0,1,0,0,-355,0.0,-19,0,-1,0
0,0,1,2,3464,0.1999999999999993,29,1,0,0
0,0,4,6,2217,0.40000000000000036,-4,0,1,-1
0,0,5,7,3049,0.20000000000000018,1,0,1,1
0,1,-1,-3,-305,0.0,-1,0,1,0
1,1,2,5,1325,0.0,11,0,1,-1
0,0,0,1,-53,0.0,18,0,-1,0
1,1,-4,-2,-2865,-0.20000000000000018,-41,0,-1,0
1,0,0,-3,-93,-0.20000000000000018,-2,0,-1,0
1,0,-1,-3,-420,-0.6000000000000005,13,0,-1,0
0,0,4,3,5008,0.6000000000000005,74,0,1,-1
1,0,-2,-4,-2074,-0.39999999999999947,-8,0,-1,-1
0,1,1,0,-3,0.20000000000000018,-2,0,0,1
1,0,0,-2,-837,0.0,-36,0,-1,-1
0,0,0,0,510,-0.40000000000000036,13,0,1,-1
1,1,-5,-4,-3549,-0.6000000000000005,-14,0,1,0
0,1,0,-1,272,0.40000000000000036,41,0,-1,0
0,0,4,4,2187,0.20000000000000018,24,0,0,0
1,1,-6,-7,-4907,-0.7999999999999998,-20,-1,0,-1
0,0,1,-2,63,0.40000000000000036,28,0,1,0
0,1,-4,-7,-2132,0.0,-8,0,-1,1
1,1,-1,-3,-976,-0.5999999999999996,-11,0,-1,1
1,0,-2,-3,-1342,-0.6000000000000005,-32,0,-1,0
0,0,6,3,2304,1.0,21,0,1,0
0,1,8,10,4219,0.6000000000000005,-1,0,-1,0
1,0,-1,-2,-2049,-0.40000000000000036,-63,0,0,0
1,1,-4,-2,-4179,-0.7999999999999998,-49,0,-1,0
1,1,0,6,-66,0.20000000000000018,24,0,-1,0
0,1,2,9,510,0.0,-37,0,1,1
1,0,1,1,2591,0.40000000000000036,55,0,-1,1
1,0,-8,-15,-3772,-1.0,21,-1,-1,0
1,0,0,4,965,-0.20000000000000018,7,0,1,0
1,1,-4,-6,-3468,-0.8000000000000007,-36,0,-1,-1
0,0,11,11,6153,1.0,16,0,0,0
1,1,-5,-8,-2216,-0.5999999999999996,4,0,-1,0
1,1,-5,-10,-2308,-0.6000000000000005,-15,0,1,0
0,0,0,2,1917,-0.40000000000000036,16,0,-1,1
1,1,-3,-2,-1676,-0.40000000000000036,24,0,-1,0
0,0,5,1,2709,0.40000000000000036,28,0,1,0
1,1,-2,-7,-1304,-0.20000000000000018,6,0,-1,0
0,0,3,5,1824,0.20000000000000018,7,0,1,0
1,1,3,6,229,-0.20000000000000018,-38,0,-1,-1
0,1,0,3,1507,0.20000000000000018,38,0,0,1
1,1,-4,-1,-1787,0.0,-4,0,1,0
1,1,1,-1,815,0.40000000000000036,52,0,0,0
1,1,-9,-3,-4767,-1.2000000000000002,-71,0,1,0
1,1,-2,-4,-1861,-0.40000000000000036,-41,0,-1,0
1,1,-13,-17,-7655,-1.2000000000000002,-60,-1,1,0
0,1,-5,-8,-2058,-0.40000000000000036,-12,0,0,0
0,1,0,4,-575,-0.20000000000000018,-12,0,1,0
1,0,2,1,1765,0.40000000000000036,33,0,0,1
1,0,0,0,540,0.0,35,0,-1,1
0,1,3,4,862,-0.20000000000000018,-18,0,-1,0
0,0,4,8,2761,0.0,20,0,1,0
1,1,-5,-2,-1249,-0.40000000000000036,13,0,-1,0
0,1,0,-2,-75,0.0,27,0,-1,0
0,0,9,6,5805,1.0,52,0,1,0
1,1,-2,-8,-810,0.0,-14,0,-1,1
1,0,1,4,1034,0.20000000000000018,-2,0,0,1
0,0,-4,-4,-2595,-0.8000000000000007,-29,0,0,-1
0,1,-1,2,-334,0.20000000000000018,5,0,-1,0
0,0,7,4,3806,0.40000000000000036,2,1,1,1
1,1,-5,-5,-2711,-0.40000000000000036,-10,0,0,0
0,0,4,1,2551,0.20000000000000018,47,0,0,0
1,0,3,6,66,-0.20000000000000018,-41,0,1,0
1,1,5,10,2242,0.40000000000000036,-12,0,1,0
1,1,-3,-6,-893,0.0,21,0,0,1
1,1,-3,-6,-1208,0.0,-18,0,-1,0
0,1,8,6,4003,0.40000000000000036,40,0,-1,0
0,1,2,-2,819,0.40000000000000036,34,0,1,0
0,0,6,9,4009,0.40000000000000036,47,0,0,-1
1,1,-1,-1,-259,-0.40000000000000036,-26,0,1,0
1,0,3,6,1728,-0.20000000000000018,32,0,0,0
1,1,0,-3,474,0.39999999999999947,34,0,-1,1
1,0,6,3,1863,0.0,-2,0,0,0
1,1,-6,-6,-3846,-0.40000000000000036,-53,0,-1,0
1,1,-2,-4,-2373,-0.20000000000000018,-23,0,-1,0
0,1,1,5,218,-0.20000000000000018,-5,0,1,0
0,0,2,2,2208,0.6000000000000005,20,0,0,0
1,1,-2,-7,-1440,0.0,-24,0,1,0
1,1,-2,6,-845,-0.39999999999999947,-24,0,1,0
1,1,-4,-7,-2635,-0.5999999999999996,-68,0,-1,0
0,1,5,7,2817,0.5999999999999996,17,0,1,1
0,1,4,1,2812,0.20000000000000018,-3,0,1,1
1,1,-5,-8,-3864,-0.6000000000000005,-45,0,-1,0
0,1,-1,1,334,0.40000000000000036,3,0,1,0
0,0,1,-3,1909,0.5999999999999996,50,0,1,0
1,0,0,-1,-346,-0.20000000000000018,27,0,0,0
0,0,10,9,5802,1.3999999999999995,63,0,-1,0
0,0,2,1,1085,0.40000000000000036,8,0,1,0
1,0,-7,-5,-2383,-0.6000000000000005,15,0,1,0
0,1,-1,-1,306,0.40000000000000036,6,0,0,1
1,0,-2,-1,-1568,-0.40000000000000036,-6,0,-1,0
0,1,-2,-10,-1419,-0.20000000000000018,7,0,1,-1
0,0,4,3,2263,0.39999999999999947,9,0,-1,1
0,0,4,7,1374,0.40000000000000036,13,0,-1,0
